;k;g;a;xE;CLUSTER;expP;stdE;xP;stdP;KG
0;100.0;10.0;0.5;9.225937201881651;0.0;0.5275222227695657;0.005621446495256068;1.10201720470447;0.0020047984206104674;10.0
96;100.0;10.0;0.55;7.907091067839481;0.0;0.6942441321646406;0.005285294427742985;0.948580110644294;0.001964416995071756;10.0
195;100.0;10.0;0.6;5.495405230358509;0.0;0.8888723557651486;0.004593821304193665;0.6144584732010419;0.001767801004576156;10.0
293;100.0;10.0;0.65;2.7237359130323457;0.0;1.117491321759096;0.0034769903287086732;0.3392787700097006;0.001530712417980328;10.0
392;100.0;10.0;0.7;0.9964960326453559;0.0;1.3864679300634977;0.00267749163510887;0.16468152613760415;0.001285097881021075;10.0
492;100.0;10.0;0.75;0.30369577328551217;0.0;1.7059995115679512;0.002188791307035025;0.07460883658970931;0.001088693583922094;10.0
591;100.0;10.0;0.8;0.08059307111788823;0.0;2.094267414711081;0.0017438385713885425;0.033255201022484436;0.0009794460164794963;10.0
687;100.0;10.0;0.85;0.01864762804270145;0.0;2.5841367870440632;0.0012974037881928373;0.014730559699260388;0.0009362908694447467;10.0
780;100.0;10.0;0.9;0.0037801164708267717;0.0;3.2137514340710087;0.0008695635412832687;0.006630596744823732;0.0009263052440303904;10.0
869;100.0;10.0;0.95;0.0009529877162977226;0.0;3.857444690403825;0.000500502269312001;0.003988844991873161;0.0010459770544182813;10.0
958;100.0;10.0;1.0;0.0004992846742288456;0.0;4.085925262918591;0.00034403978839110536;0.008272552637362455;0.0031926603563854315;10.0
1;100.0;20.0;0.5;20.372648513391145;0.0;0.3705865540939464;0.0075812091344716285;0.4388996766833444;0.0010909519682387985;5.0
97;100.0;20.0;0.55;14.494817336697789;0.0;0.4702863314490048;0.006180629317979368;1.1543844720714356;0.0017668649208367633;5.0
196;100.0;20.0;0.6;10.63057169880466;0.0;0.6106472446707106;0.005174224079638129;1.9994711727843932;0.002360170501541256;5.0
294;100.0;20.0;0.65;7.516482925404742;0.0;0.7801436657083219;0.004400416923778457;2.1026552281480893;0.002575721886035919;5.0
393;100.0;20.0;0.7;4.235755273942991;0.0;0.9784123650007148;0.0034103238317307965;1.716772064743811;0.0025813274429049783;5.0
493;100.0;20.0;0.75;1.7604831268230408;0.0;1.2055784081768766;0.002484802466011412;1.136653570546506;0.002410109322606419;5.0
592;100.0;20.0;0.8;0.5893396717232453;0.0;1.4648651470080751;0.0019099097021924379;0.6293420356652549;0.0021330778512895095;5.0
688;100.0;20.0;0.85;0.17308894982096634;0.0;1.7658979785515323;0.0014822686235471175;0.3055501106512011;0.0018682727196539207;5.0
781;100.0;20.0;0.9;0.04296723719948449;0.0;2.1261606855426205;0.0010638786872944669;0.13970923784582798;0.0017044373308519824;5.0
870;100.0;20.0;0.95;0.00791612284957673;0.0;2.5726074011245004;0.0006480713817236782;0.0632406021199988;0.0016296363696286413;5.0
959;100.0;20.0;1.0;0.0012186340346472912;0.0;3.13570698747023;0.00027743690649596774;0.028207479000626076;0.0015805296083646948;5.0
2;100.0;30.0;0.5;32.63843172702177;0.0;0.3579590749390433;0.008027086007983977;0.6586534919217496;0.0011057109731547317;3.3333333333333335
98;100.0;30.0;0.55;26.43479914556463;0.0;0.4002093808142138;0.007769405634877727;0.5923551550650296;0.0011409179798322995;3.3333333333333335
197;100.0;30.0;0.6;18.2531821968263;0.0;0.4966720160288398;0.006331446041839544;1.311764827785481;0.0017220614019124488;3.3333333333333335
295;100.0;30.0;0.65;12.398158855157039;0.0;0.6313426352949059;0.005136554193598159;2.4891522535451243;0.0024255287728295817;3.3333333333333335
394;100.0;30.0;0.7;8.002329304194133;0.0;0.7955920445327475;0.0041677179340789796;2.9630282893826894;0.002809189171489145;3.3333333333333335
494;100.0;30.0;0.75;4.2009497544595495;0.0;0.9874269481810672;0.003131233273698029;2.6695056559704957;0.002932312607556453;3.3333333333333335
593;100.0;30.0;0.8;1.6697116976102813;0.0;1.2041903116851875;0.002253118750392068;1.9173543420301271;0.0028196148569479503;3.3333333333333335
689;100.0;30.0;0.85;0.5433750012885089;0.0;1.446810004223105;0.0016835040099453893;1.139153024545689;0.0025547573680489125;3.3333333333333335
782;100.0;30.0;0.9;0.15442773707007434;0.0;1.723737937337034;0.0012423535560217047;0.5890599332070037;0.0022776809468677533;3.3333333333333335
871;100.0;30.0;0.95;0.03648456283688812;0.0;2.051669859879925;0.0008373819653903464;0.2826980904020473;0.0020832449914857647;3.3333333333333335
960;100.0;30.0;1.0;0.005963204155143179;0.0;2.452046769347024;0.00045517565295000374;0.1332073393860494;0.001975360714717113;3.3333333333333335
3;100.0;40.0;0.5;41.85880135884729;0.0;0.3795385392034331;0.00740731633819209;0.7861744772290621;0.0009988532083827053;2.5
99;100.0;40.0;0.55;38.33559547468408;0.0;0.3846923696581013;0.008362843565801463;0.8299040549569303;0.0011878932269845269;2.5
198;100.0;40.0;0.6;28.75582531201114;0.0;0.4446811450587048;0.007521019761221453;0.7606001864588889;0.001213190775469438;2.5
296;100.0;40.0;0.65;19.198191548631595;0.0;0.5504600239104561;0.006052687441015957;1.8125474382486144;0.0019081530196552805;2.5
395;100.0;40.0;0.7;12.409242436432853;0.0;0.6896786491204172;0.004849104274208834;3.1154939584587122;0.0025940505448048463;2.5
495;100.0;40.0;0.75;7.244569263174551;0.0;0.8576026718671732;0.003772787860472217;3.6299360688700415;0.002999089996102364;2.5
594;100.0;40.0;0.8;3.3718770704796035;0.0;1.0510526958033224;0.002738350532809239;3.221428074782629;0.0031195680751519017;2.5
690;100.0;40.0;0.85;1.226060440937948;0.0;1.2661504566594346;0.0019745482830702443;2.281829967473125;0.002985464764253163;2.5
